0.003796957	40200,50200	18	046152898b898989c799
0.000079473	50200,40200	9	c6
0.017256165	40200,50200	18	03fd52898b77777739f9
0.000147099	50200,40200	9	c6
0.019302241	40200,50200	18	03e152098b898989c799
0.000136958	50200,40200	9	c6
0.007060554	40200,50200	18	037d52098b77777739f9
0.000133308	50200,40200	9	c6
0.005940345	40200,50200	23	076a529989898989c799898989c799
0.000106851	50200,40200	9	c6
0.000977819	40200,50200	23	067a529989898989898989890995a9
0.000124802	50200,40200	9	c6
0.003464780	40200,50200	23	076a529989898989c799898989c799
0.000142399	50200,40200	9	c6
0.006604847	40200,50200	23	06ce52998989898989898989898989
0.000142817	50200,40200	9	c6
0.002019376	40200,50200	17	031c428b89898f05a9
0.000137309	50200,40200	9	c6
0.000676662	40200,50200	14	01ebd0098989
0.000110912	50200,40200	9	c6
0.000661072	40200,50200	14	020bd0298989
0.000112405	50200,40200	9	c6
0.000490186	40200,50200	18	040152898b89892d93c9
0.000118344	50200,40200	9	c6
